Method,Perf
FCNN-3,1.0
GNN-4,0.9773
Greedy,0.9978
SCITE,1.0
SiFit,0.9342
FCNN-3,1.0
GNN-4,0.7849
Greedy,0.7006
SCITE,1.0
SiFit,0.9097
FCNN-3,1.0
GNN-4,0.9853
Greedy,0.8398
SCITE,1.0
SiFit,0.9014
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.7667
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.8726
FCNN-3,1.0
GNN-4,0.9008
Greedy,1.0
SCITE,1.0
SiFit,1.0
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.6396
FCNN-3,0.9584
GNN-4,0.9749
Greedy,0.9971
SCITE,1.0
SiFit,0.9531
FCNN-3,0.937
GNN-4,0.885
Greedy,1.0
SCITE,1.0
SiFit,0.9936
FCNN-3,1.0
GNN-4,0.9975
Greedy,0.9805
SCITE,1.0
SiFit,0.9543
FCNN-3,0.9328
GNN-4,1.0
Greedy,0.9451
SCITE,1.0
SiFit,0.9712
FCNN-3,0.9901
GNN-4,1.0
Greedy,0.9901
SCITE,1.0
SiFit,0.9299
FCNN-3,0.9664
GNN-4,0.9316
Greedy,0.8039
SCITE,1.0
SiFit,0.9537
FCNN-3,0.9686
GNN-4,1.0
Greedy,0.9457
SCITE,1.0
SiFit,0.9187
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.9095
FCNN-3,1.0
GNN-4,0.9279
Greedy,0.9472
SCITE,1.0
SiFit,0.981
FCNN-3,1.0
GNN-4,0.6974
Greedy,0.9346
SCITE,1.0
SiFit,1.0
FCNN-3,1.0
GNN-4,1.0
Greedy,0.9565
SCITE,1.0
SiFit,1.0
FCNN-3,1.0
GNN-4,0.8741
Greedy,1.0
SCITE,1.0
SiFit,0.815
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.9575
FCNN-3,0.9892
GNN-4,0.9638
Greedy,0.9892
SCITE,1.0
SiFit,0.5966
FCNN-3,1.0
GNN-4,0.9905
Greedy,1.0
SCITE,1.0
SiFit,0.8019
FCNN-3,1.0
GNN-4,1.0
Greedy,0.8216
SCITE,1.0
SiFit,0.9745
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.7432
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.8994
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.8573
FCNN-3,1.0
GNN-4,1.0
Greedy,0.8895
SCITE,1.0
SiFit,0.7793
FCNN-3,0.9851
GNN-4,0.9179
Greedy,0.8959
SCITE,1.0
SiFit,1.0
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.8477
FCNN-3,0.7681
GNN-4,0.7683
Greedy,0.7681
SCITE,1.0
SiFit,0.913
FCNN-3,1.0
GNN-4,1.0
Greedy,0.9322
SCITE,1.0
SiFit,0.923
FCNN-3,1.0
GNN-4,0.9822
Greedy,0.9691
SCITE,1.0
SiFit,0.6638
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.9655
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.7188
FCNN-3,1.0
GNN-4,0.9958
Greedy,1.0
SCITE,1.0
SiFit,0.9317
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.8107
FCNN-3,1.0
GNN-4,0.9941
Greedy,0.9801
SCITE,1.0
SiFit,0.9902
FCNN-3,1.0
GNN-4,0.6454
Greedy,0.9169
SCITE,1.0
SiFit,0.9859
FCNN-3,0.9725
GNN-4,1.0
Greedy,0.9725
SCITE,1.0
SiFit,0.8466
FCNN-3,1.0
GNN-4,0.7692
Greedy,1.0
SCITE,1.0
SiFit,0.9837
FCNN-3,1.0
GNN-4,0.9711
Greedy,1.0
SCITE,1.0
SiFit,0.9964
FCNN-3,0.9552
GNN-4,0.9199
Greedy,0.9037
SCITE,1.0
SiFit,0.7631
FCNN-3,1.0
GNN-4,0.9897
Greedy,0.8788
SCITE,1.0
SiFit,0.9434
FCNN-3,1.0
GNN-4,0.9779
Greedy,0.9117
SCITE,1.0
SiFit,0.8738
FCNN-3,0.977
GNN-4,0.9373
Greedy,0.9165
SCITE,1.0
SiFit,0.9774
FCNN-3,0.9291
GNN-4,0.9096
Greedy,0.9291
SCITE,1.0
SiFit,0.9557
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.9692
FCNN-3,0.8971
GNN-4,0.9589
Greedy,0.7802
SCITE,1.0
SiFit,0.9796
FCNN-3,0.9832
GNN-4,0.8984
Greedy,0.792
SCITE,1.0
SiFit,1.0
FCNN-3,0.9762
GNN-4,1.0
Greedy,0.9762
SCITE,1.0
SiFit,0.8924
FCNN-3,1.0
GNN-4,0.9654
Greedy,1.0
SCITE,1.0
SiFit,0.952
FCNN-3,0.9815
GNN-4,0.9787
Greedy,0.9815
SCITE,1.0
SiFit,0.7215
FCNN-3,1.0
GNN-4,0.9757
Greedy,0.9562
SCITE,1.0
SiFit,0.9046
FCNN-3,0.8883
GNN-4,0.7542
Greedy,0.7877
SCITE,1.0
SiFit,1.0
FCNN-3,1.0
GNN-4,1.0
Greedy,0.9855
SCITE,1.0
SiFit,0.9911
FCNN-3,0.8981
GNN-4,1.0
Greedy,0.8981
SCITE,1.0
SiFit,0.9332
FCNN-3,1.0
GNN-4,0.9046
Greedy,0.9604
SCITE,1.0
SiFit,0.9542
FCNN-3,1.0
GNN-4,1.0
Greedy,0.9542
SCITE,1.0
SiFit,0.9676
FCNN-3,1.0
GNN-4,0.9353
Greedy,1.0
SCITE,1.0
SiFit,0.9725
FCNN-3,0.9049
GNN-4,0.9789
Greedy,0.726
SCITE,1.0
SiFit,0.8474
FCNN-3,1.0
GNN-4,0.9611
Greedy,0.9727
SCITE,1.0
SiFit,0.8635
FCNN-3,1.0
GNN-4,0.8812
Greedy,1.0
SCITE,1.0
SiFit,0.9098
FCNN-3,0.9882
GNN-4,0.9324
Greedy,0.9882
SCITE,1.0
SiFit,1.0
FCNN-3,0.9563
GNN-4,1.0
Greedy,0.7671
SCITE,1.0
SiFit,0.9093
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.9621
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.8969
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.935
FCNN-3,0.8566
GNN-4,0.9836
Greedy,0.8307
SCITE,1.0
SiFit,0.9486
FCNN-3,1.0
GNN-4,1.0
Greedy,0.9717
SCITE,1.0
SiFit,0.8543
FCNN-3,1.0
GNN-4,1.0
Greedy,0.985
SCITE,1.0
SiFit,0.9144
FCNN-3,0.8962
GNN-4,0.9102
Greedy,0.7707
SCITE,1.0
SiFit,0.9202
FCNN-3,1.0
GNN-4,1.0
Greedy,1.0
SCITE,1.0
SiFit,0.6909
FCNN-3,0.989
GNN-4,0.9612
Greedy,0.989
SCITE,1.0
SiFit,0.8354
FCNN-3,0.8624
GNN-4,0.9343
Greedy,0.7663
SCITE,1.0
SiFit,0.9467
FCNN-3,1.0
GNN-4,0.9836
Greedy,0.9228
SCITE,1.0
SiFit,0.9121
FCNN-3,0.9282
GNN-4,1.0
Greedy,0.9555
SCITE,1.0
SiFit,0.8885
FCNN-3,0.8344
GNN-4,0.8344
Greedy,0.8344
SCITE,1.0
SiFit,0.9195
FCNN-3,1.0
GNN-4,1.0
Greedy,0.9363
SCITE,1.0
SiFit,0.9228
FCNN-3,1.0
GNN-4,0.9763
Greedy,0.9351
SCITE,1.0
SiFit,0.8377
FCNN-3,0.9472
GNN-4,0.9065
