Model,Perf
FCNN-1,0.9352
FCNN-2,0.8225
FCNN-3,1.0
GNN-1,0.9352
GNN-2,1.0
GNN-3,0.9352
GNN-4,1.0
FCNN-1,0.7614
FCNN-2,0.7035
FCNN-3,1.0
GNN-1,0.93
GNN-2,0.5401
GNN-3,0.9533
GNN-4,1.0
FCNN-1,0.9498
FCNN-2,0.8253
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.6988
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.7874
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.5
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.908
FCNN-2,0.6713
FCNN-3,1.0
GNN-1,0.908
GNN-2,0.6184
GNN-3,0.908
GNN-4,0.9609
FCNN-1,0.723
FCNN-2,0.759
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.759
GNN-3,0.8615
GNN-4,1.0
FCNN-1,0.8195
FCNN-2,0.8195
FCNN-3,1.0
GNN-1,0.8195
GNN-2,0.1805
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.7886
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.5264
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.8854
FCNN-2,0.361
FCNN-3,1.0
GNN-1,0.8366
GNN-2,0.1976
GNN-3,0.5244
GNN-4,1.0
FCNN-1,0.7439
FCNN-2,0.5122
FCNN-3,1.0
GNN-1,0.5813
GNN-2,0.3009
GNN-3,0.9065
GNN-4,1.0
FCNN-1,0.9686
FCNN-2,0.8281
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.4843
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.8513
FCNN-2,0.3829
FCNN-3,1.0
GNN-1,0.9368
GNN-2,0.3829
GNN-3,0.9368
GNN-4,1.0
FCNN-1,0.9569
FCNN-2,0.7392
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.4203
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.3516
FCNN-2,1.0
FCNN-3,1.0
GNN-1,0.3516
GNN-2,0.3516
GNN-3,0.3516
GNN-4,1.0
FCNN-1,0.8615
FCNN-2,0.759
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.3795
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.0
FCNN-3,1.0
GNN-1,0.6667
GNN-2,0.4233
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.945
FCNN-2,0.2871
FCNN-3,1.0
GNN-1,0.945
GNN-2,0.0693
GNN-3,0.8493
GNN-4,0.945
FCNN-1,1.0
FCNN-2,1.0
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.227
GNN-3,1.0
GNN-4,1.0
FCNN-1,0.5813
FCNN-2,0.1626
FCNN-3,1.0
GNN-1,0.8374
GNN-2,0.4635
GNN-3,0.557
GNN-4,0.9309
FCNN-1,1.0
FCNN-2,0.6205
FCNN-3,1.0
GNN-1,1.0
GNN-2,0.6205
GNN-3,1.0
GNN-4,1.0
FCNN-1,1.0
FCNN-2,0.6232
