Method,Num_Cells,Perf
FCNN-3,12,1.0
GNN-4,12,0.9771
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,0.9822
Greedy,24,1.0
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,0.8977
Greedy,36,0.9666
SCITE,36,1.0
FCNN-3,48,0.9849
GNN-4,48,0.8527
Greedy,48,0.9059
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.9667
GNN-4,12,0.7841
Greedy,12,0.8297
SCITE,12,1.0
FCNN-3,24,0.8741
GNN-4,24,0.6113
Greedy,24,0.8741
SCITE,24,1.0
FCNN-3,36,0.9184
GNN-4,36,0.8458
Greedy,36,0.7269
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
Greedy,48,1.0
SCITE,48,1.0
FCNN-3,6,0.8225
GNN-4,6,1.0
Greedy,6,0.8549
SCITE,6,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,0.9584
SCITE,12,1.0
FCNN-3,24,0.9731
GNN-4,24,0.9595
Greedy,24,0.9371
SCITE,24,1.0
FCNN-3,36,0.9777
GNN-4,36,0.9864
Greedy,36,0.9641
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
Greedy,48,0.9729
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.7771
GNN-4,12,0.6809
Greedy,12,0.6956
SCITE,12,1.0
FCNN-3,24,0.9578
GNN-4,24,0.8022
Greedy,24,0.8146
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,1.0
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.934
Greedy,48,1.0
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.9374
GNN-4,12,0.8531
Greedy,12,0.8596
SCITE,12,1.0
FCNN-3,24,0.9495
GNN-4,24,0.9414
Greedy,24,0.9495
SCITE,24,1.0
FCNN-3,36,0.9568
GNN-4,36,0.9922
Greedy,36,0.9568
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9723
Greedy,48,1.0
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.9763
GNN-4,12,0.7929
Greedy,12,0.7929
SCITE,12,1.0
FCNN-3,24,0.905
GNN-4,24,0.9755
Greedy,24,0.8627
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,0.9813
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,1.0
Greedy,48,0.9761
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,1.0
Greedy,6,1.0
SCITE,6,1.0
FCNN-3,12,0.9167
GNN-4,12,1.0
Greedy,12,0.9167
SCITE,12,1.0
FCNN-3,24,0.9938
GNN-4,24,1.0
Greedy,24,0.9711
SCITE,24,1.0
FCNN-3,36,1.0
GNN-4,36,0.9606
Greedy,36,1.0
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9374
Greedy,48,0.9244
SCITE,48,1.0
FCNN-3,6,1.0
GNN-4,6,0.7435
Greedy,6,0.8876
SCITE,6,1.0
FCNN-3,12,0.9617
GNN-4,12,0.9039
Greedy,12,0.7305
SCITE,12,1.0
FCNN-3,24,1.0
GNN-4,24,0.5985
Greedy,24,0.9664
SCITE,24,1.0
FCNN-3,36,0.9946
GNN-4,36,0.9785
Greedy,36,0.9557
SCITE,36,1.0
FCNN-3,48,1.0
GNN-4,48,0.9939
