Method,Num_Mut,Perf
FCNN-3,10,0.9586
GNN-4,10,1.0
Greedy,10,0.9586
SCITE,10,1.0
FCNN-3,12,0.9486
GNN-4,12,0.9876
Greedy,12,0.8473
SCITE,12,1.0
FCNN-3,15,1.0
GNN-4,15,0.877
Greedy,15,1.0
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,0.9074
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,1.0
GNN-4,10,1.0
Greedy,10,0.9757
SCITE,10,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,15,0.821
GNN-4,15,0.8897
Greedy,15,0.6551
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,0.9767
GNN-4,10,0.9595
Greedy,10,0.9767
SCITE,10,1.0
FCNN-3,12,0.8609
GNN-4,12,0.8524
Greedy,12,0.7913
SCITE,12,1.0
FCNN-3,15,0.9804
GNN-4,15,1.0
Greedy,15,0.7858
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,1.0
GNN-4,10,1.0
Greedy,10,1.0
SCITE,10,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,0.8978
SCITE,12,1.0
FCNN-3,15,0.9541
GNN-4,15,0.9793
Greedy,15,0.9657
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,0.945
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,0.8193
GNN-4,10,1.0
Greedy,10,0.8193
SCITE,10,1.0
FCNN-3,12,0.9311
GNN-4,12,0.9157
Greedy,12,0.9311
SCITE,12,1.0
FCNN-3,15,1.0
GNN-4,15,0.9718
Greedy,15,0.92
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,0.9649
GNN-4,10,1.0
Greedy,10,0.8712
SCITE,10,1.0
FCNN-3,12,0.8869
GNN-4,12,0.9894
Greedy,12,0.8869
SCITE,12,1.0
FCNN-3,15,0.9502
GNN-4,15,0.8345
Greedy,15,0.9502
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,0.8735
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,1.0
GNN-4,10,0.9795
Greedy,10,1.0
SCITE,10,1.0
FCNN-3,12,1.0
GNN-4,12,0.9579
Greedy,12,0.9907
SCITE,12,1.0
FCNN-3,15,0.9267
GNN-4,15,1.0
Greedy,15,0.9267
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,1.0
GNN-4,10,1.0
Greedy,10,1.0
SCITE,10,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,0.918
SCITE,12,1.0
FCNN-3,15,0.9866
GNN-4,15,0.9714
Greedy,15,0.9866
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,0.9225
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,1.0
GNN-4,10,0.9494
Greedy,10,1.0
SCITE,10,1.0
FCNN-3,12,1.0
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,15,1.0
GNN-4,15,1.0
Greedy,15,0.8262
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,0.9403
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
