Method,Num_Mut,Perf
GNN,10,1.0
Greedy,10,0.9677
GNN,12,0.6614
Greedy,12,0.679
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.7708
GNN,12,1.0
Greedy,12,0.898
GNN,5,0.9479
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9488
Greedy,10,0.837
GNN,12,0.7673
Greedy,12,0.7951
GNN,5,0.9719
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.96
Greedy,10,1.0
GNN,12,0.6674
Greedy,12,0.7901
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9576
Greedy,10,0.8221
GNN,12,0.9733
Greedy,12,0.8293
GNN,5,0.9479
Greedy,5,1.0
GNN,7,0.9438
Greedy,7,0.8596
GNN,10,0.8371
Greedy,10,0.8632
GNN,12,0.828
Greedy,12,0.7581
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9158
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9252
Greedy,12,0.9556
GNN,5,0.9544
Greedy,5,0.875
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8388
Greedy,10,0.8654
GNN,12,0.9544
Greedy,12,0.9127
GNN,5,1.0
Greedy,5,0.8889
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.87
Greedy,10,1.0
GNN,12,0.9834
Greedy,12,0.917
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9408
Greedy,7,0.8868
GNN,10,1.0
Greedy,10,0.9512
GNN,12,0.9423
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9719
Greedy,7,0.8551
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.7446
Greedy,12,0.7403
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9088
GNN,10,0.9915
Greedy,10,0.8605
GNN,12,0.7964
Greedy,12,0.8063
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8947
Greedy,10,1.0
GNN,12,0.7982
Greedy,12,0.9392
GNN,5,1.0
Greedy,5,0.9091
GNN,7,1.0
Greedy,7,0.8824
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9551
Greedy,12,0.7398
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8847
Greedy,10,1.0
GNN,12,0.9183
Greedy,12,0.8507
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9544
Greedy,7,1.0
GNN,10,0.6791
Greedy,10,0.6791
GNN,12,0.8263
Greedy,12,0.7778
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.8938
Greedy,7,0.78
GNN,10,0.9678
Greedy,10,0.8824
GNN,12,1.0
Greedy,12,0.9714
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9176
Greedy,10,0.9524
GNN,12,0.5323
Greedy,12,0.7235
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.8783
Greedy,7,1.0
