Method,Num_Mut,Perf
FCNN-3,10,0.9586
GNN-4,10,1.0
Greedy,10,0.9586
SCITE,10,1.0
FCNN-3,12,0.9486
GNN-4,12,0.8901
Greedy,12,0.8473
SCITE,12,1.0
FCNN-3,15,1.0
GNN-4,15,0.9615
Greedy,15,1.0
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,0.9074
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,0.9901
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,0.9726
GNN-4,10,1.0
Greedy,10,0.9757
SCITE,10,1.0
FCNN-3,12,0.9011
GNN-4,12,1.0
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,15,0.8137
GNN-4,15,0.8804
Greedy,15,0.6551
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,0.9767
GNN-4,10,0.8957
Greedy,10,0.9767
SCITE,10,1.0
FCNN-3,12,0.8475
GNN-4,12,0.9781
Greedy,12,0.7913
SCITE,12,1.0
FCNN-3,15,0.9804
GNN-4,15,0.9608
Greedy,15,0.7858
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,0.9947
GNN-4,10,1.0
Greedy,10,1.0
SCITE,10,1.0
FCNN-3,12,1.0
GNN-4,12,0.9893
Greedy,12,0.8978
SCITE,12,1.0
FCNN-3,15,0.9613
GNN-4,15,0.7946
Greedy,15,0.9657
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,0.945
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,1.0
GNN-4,10,0.9939
Greedy,10,0.8193
SCITE,10,1.0
FCNN-3,12,0.9311
GNN-4,12,0.9043
Greedy,12,0.9311
SCITE,12,1.0
FCNN-3,15,1.0
GNN-4,15,0.9411
Greedy,15,0.92
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,0.8712
GNN-4,10,1.0
Greedy,10,0.8712
SCITE,10,1.0
FCNN-3,12,0.8869
GNN-4,12,0.8841
Greedy,12,0.8869
SCITE,12,1.0
FCNN-3,15,0.9502
GNN-4,15,0.9634
Greedy,15,0.9502
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,1.0
GNN-4,10,1.0
Greedy,10,1.0
SCITE,10,1.0
FCNN-3,12,1.0
GNN-4,12,0.972
Greedy,12,0.9907
SCITE,12,1.0
FCNN-3,15,0.9566
GNN-4,15,0.9022
Greedy,15,0.9267
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,0.9368
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,1.0
GNN-4,10,0.9363
Greedy,10,1.0
SCITE,10,1.0
FCNN-3,12,1.0
GNN-4,12,0.9922
Greedy,12,0.918
SCITE,12,1.0
FCNN-3,15,0.9866
GNN-4,15,0.9682
Greedy,15,0.9866
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,0.9225
SCITE,5,1.0
FCNN-3,7,1.0
GNN-4,7,1.0
Greedy,7,1.0
SCITE,7,1.0
FCNN-3,10,1.0
GNN-4,10,1.0
Greedy,10,1.0
SCITE,10,1.0
FCNN-3,12,1.0
GNN-4,12,0.9636
Greedy,12,1.0
SCITE,12,1.0
FCNN-3,15,1.0
GNN-4,15,0.9653
Greedy,15,0.8262
SCITE,15,1.0
FCNN-3,5,1.0
GNN-4,5,1.0
Greedy,5,1.0
SCITE,5,1.0
FCNN-3,7,1.0
