Method,Num_Mut,Perf
GNN,10,1.0
Greedy,10,0.9677
GNN,12,0.9306
Greedy,12,0.679
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.7708
GNN,12,1.0
Greedy,12,0.898
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.837
GNN,12,0.8644
Greedy,12,0.7951
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9444
Greedy,12,0.7901
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9316
Greedy,7,1.0
GNN,10,0.9491
Greedy,10,0.8221
GNN,12,0.8293
Greedy,12,0.8293
GNN,5,1.0
Greedy,5,1.0
GNN,7,0.9438
Greedy,7,0.8596
GNN,10,0.8632
Greedy,10,0.8632
GNN,12,0.9194
Greedy,12,0.7581
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9158
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9556
Greedy,12,0.9556
GNN,5,1.0
Greedy,5,0.875
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.8654
GNN,12,1.0
Greedy,12,0.9127
GNN,5,1.0
Greedy,5,0.8889
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9917
Greedy,12,0.917
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8868
GNN,10,1.0
Greedy,10,0.9512
GNN,12,1.0
Greedy,12,1.0
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.8551
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.8862
Greedy,12,0.7403
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.9088
GNN,10,1.0
Greedy,10,0.8605
GNN,12,0.8562
Greedy,12,0.8063
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.9392
GNN,5,1.0
Greedy,5,0.9091
GNN,7,1.0
Greedy,7,0.8824
GNN,10,1.0
Greedy,10,1.0
GNN,12,0.9846
Greedy,12,0.7398
GNN,5,0.9088
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,1.0
GNN,12,1.0
Greedy,12,0.8507
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.8892
Greedy,10,0.6791
GNN,12,0.9815
Greedy,12,0.7778
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,0.78
GNN,10,0.8824
Greedy,10,0.8824
GNN,12,1.0
Greedy,12,0.9714
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,1.0
Greedy,10,0.9524
GNN,12,0.8861
Greedy,12,0.7235
GNN,5,1.0
Greedy,5,1.0
GNN,7,1.0
Greedy,7,1.0
GNN,10,0.9057
Greedy,10,0.7473
