Method,Beta,Perf
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.9431
SCITE,0.01,1.0
FCNN-3,0.01,0.9599
GNN-4,0.01,0.989
Greedy,0.01,0.829
SCITE,0.01,1.0
FCNN-3,0.01,0.9787
GNN-4,0.01,1.0
Greedy,0.01,0.9787
SCITE,0.01,1.0
FCNN-3,0.01,0.9376
GNN-4,0.01,0.8179
Greedy,0.01,0.8379
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.8558
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.9402
GNN-4,0.01,1.0
Greedy,0.01,0.9402
SCITE,0.01,1.0
FCNN-3,0.01,0.7816
GNN-4,0.01,0.8849
Greedy,0.01,0.7816
SCITE,0.01,1.0
FCNN-3,0.01,0.7782
GNN-4,0.01,0.9551
Greedy,0.01,0.7547
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9391
Greedy,0.01,0.9997
SCITE,0.01,1.0
FCNN-3,0.01,0.7342
GNN-4,0.01,0.622
Greedy,0.01,0.6424
SCITE,0.01,1.0
FCNN-3,0.01,0.6712
GNN-4,0.01,0.6712
Greedy,0.01,0.6712
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9142
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.8903
GNN-4,0.01,0.5321
Greedy,0.01,0.5935
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9618
Greedy,0.01,0.991
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.951
Greedy,0.01,0.9726
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.9329
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9346
Greedy,0.01,0.8464
SCITE,0.01,1.0
FCNN-3,0.01,0.9726
GNN-4,0.01,0.8105
Greedy,0.01,0.9726
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.8079
Greedy,0.01,0.9425
SCITE,0.01,1.0
FCNN-3,0.01,0.99
GNN-4,0.01,0.8066
Greedy,0.01,0.8433
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.8033
SCITE,0.01,1.0
FCNN-3,0.01,0.9216
GNN-4,0.01,0.8192
Greedy,0.01,0.8602
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.8694
GNN-4,0.01,0.8694
Greedy,0.01,0.8259
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.5708
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.8818
Greedy,0.01,0.831
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.7658
Greedy,0.01,0.9399
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.8447
Greedy,0.01,0.8447
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9581
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.8072
GNN-4,0.01,0.8183
Greedy,0.01,0.6966
SCITE,0.01,1.0
FCNN-3,0.01,0.9331
GNN-4,0.01,0.6665
Greedy,0.01,0.8498
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.9017
SCITE,0.01,1.0
FCNN-3,0.01,0.9926
GNN-4,0.01,0.6618
Greedy,0.01,0.9926
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.954
Greedy,0.01,0.9813
SCITE,0.01,1.0
FCNN-3,0.01,0.8694
GNN-4,0.01,0.8694
Greedy,0.01,0.8476
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9795
Greedy,0.01,0.837
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9402
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.8542
Greedy,0.01,0.8698
SCITE,0.01,1.0
FCNN-3,0.01,0.9982
GNN-4,0.01,1.0
Greedy,0.01,0.9982
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.9266
SCITE,0.01,1.0
FCNN-3,0.01,0.8309
GNN-4,0.01,0.8924
Greedy,0.01,0.8309
SCITE,0.01,1.0
FCNN-3,0.01,0.9974
GNN-4,0.01,0.7051
Greedy,0.01,0.8598
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.6391
Greedy,0.01,0.7418
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9413
Greedy,0.01,0.887
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.8656
SCITE,0.01,1.0
FCNN-3,0.01,0.9785
GNN-4,0.01,0.8806
Greedy,0.01,0.9785
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.8361
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.9962
GNN-4,0.01,1.0
Greedy,0.01,0.8949
