Method,Beta,Perf
FCNN-3,0.01,0.4431
GNN-4,0.01,0.2026
Greedy,0.01,-0.3988
SCITE,0.01,0.4431
FCNN-3,0.01,-0.2795
GNN-4,0.01,-0.0769
Greedy,0.01,-1.1913
SCITE,0.01,0.4296
FCNN-3,0.01,-0.239
GNN-4,0.01,0.8314
Greedy,0.01,-0.239
SCITE,0.01,0.8314
FCNN-3,0.01,-0.4169
GNN-4,0.01,-1.2166
Greedy,0.01,-1.0833
SCITE,0.01,0.3829
FCNN-3,0.01,0.4034
GNN-4,0.01,0.2745
Greedy,0.01,0.4034
SCITE,0.01,0.4034
FCNN-3,0.01,0.1774
GNN-4,0.01,-0.0708
Greedy,0.01,0.1774
SCITE,0.01,0.1774
FCNN-3,0.01,-0.6022
GNN-4,0.01,0.5117
Greedy,0.01,-0.6022
SCITE,0.01,0.6974
FCNN-3,0.01,-2.1695
GNN-4,0.01,-0.7042
Greedy,0.01,-2.1695
SCITE,0.01,0.4681
FCNN-3,0.01,-3.2292
GNN-4,0.01,-0.6536
Greedy,0.01,-3.5726
SCITE,0.01,0.8918
FCNN-3,0.01,0.5499
GNN-4,0.01,-0.5547
Greedy,0.01,-0.0024
SCITE,0.01,0.5499
FCNN-3,0.01,-3.0439
GNN-4,0.01,-4.3284
Greedy,0.01,-4.0948
SCITE,0.01,0.4593
FCNN-3,0.01,-4.0309
GNN-4,0.01,-4.0309
Greedy,0.01,-4.0309
SCITE,0.01,0.7562
FCNN-3,0.01,0.2556
GNN-4,0.01,-0.7699
Greedy,0.01,0.0505
SCITE,0.01,0.6657
FCNN-3,0.01,-1.3547
GNN-4,0.01,-5.7786
Greedy,0.01,-5.0202
SCITE,0.01,0.5412
FCNN-3,0.01,0.4256
GNN-4,0.01,-0.2073
Greedy,0.01,-0.0491
SCITE,0.01,0.4256
FCNN-3,0.01,0.3268
GNN-4,0.01,-0.271
Greedy,0.01,-0.1515
SCITE,0.01,0.3268
FCNN-3,0.01,0.0748
GNN-4,0.01,0.1961
Greedy,0.01,-0.4102
SCITE,0.01,0.5599
FCNN-3,0.01,0.6186
GNN-4,0.01,0.1505
Greedy,0.01,0.6186
SCITE,0.01,0.6186
FCNN-3,0.01,0.4754
GNN-4,0.01,-0.5362
Greedy,0.01,-1.2587
SCITE,0.01,0.4754
FCNN-3,0.01,-0.1893
GNN-4,0.01,-1.308
Greedy,0.01,-0.1893
SCITE,0.01,0.2583
FCNN-3,0.01,0.3941
GNN-4,0.01,-1.3071
Greedy,0.01,-0.3911
SCITE,0.01,0.3941
FCNN-3,0.01,-0.0773
GNN-4,0.01,-1.4893
Greedy,0.01,-1.2069
SCITE,0.01,0.4875
FCNN-3,0.01,0.8714
GNN-4,0.01,0.4629
Greedy,0.01,-2.6007
SCITE,0.01,0.8714
FCNN-3,0.01,-0.6592
GNN-4,0.01,-1.5206
Greedy,0.01,-1.176
SCITE,0.01,0.3746
FCNN-3,0.01,0.6144
GNN-4,0.01,0.6144
Greedy,0.01,0.1412
SCITE,0.01,0.6144
FCNN-3,0.01,-1.3016
GNN-4,0.01,-1.3016
Greedy,0.01,-1.7346
SCITE,0.01,0.6471
FCNN-3,0.01,0.1558
GNN-4,0.01,-1.2448
Greedy,0.01,0.1558
SCITE,0.01,0.2831
FCNN-3,0.01,0.4552
GNN-4,0.01,-1.0458
Greedy,0.01,-1.4961
SCITE,0.01,0.4552
FCNN-3,0.01,0.0358
GNN-4,0.01,0.3267
Greedy,0.01,0.0358
SCITE,0.01,0.4721
FCNN-3,0.01,0.0667
GNN-4,0.01,-1.6458
Greedy,0.01,-0.4226
SCITE,0.01,0.4337
FCNN-3,0.01,0.0252
GNN-4,0.01,-0.869
Greedy,0.01,-0.869
SCITE,0.01,0.153
FCNN-3,0.01,0.5341
GNN-4,0.01,0.3569
Greedy,0.01,0.5341
SCITE,0.01,0.5341
FCNN-3,0.01,0.122
GNN-4,0.01,-0.2573
Greedy,0.01,0.122
SCITE,0.01,0.5013
FCNN-3,0.01,-2.4233
GNN-4,0.01,-1.8674
Greedy,0.01,-3.8132
SCITE,0.01,0.7735
FCNN-3,0.01,-0.7141
GNN-4,0.01,-3.5621
Greedy,0.01,-1.6041
SCITE,0.01,0.7099
FCNN-3,0.01,0.6183
GNN-4,0.01,0.3842
Greedy,0.01,-1.0208
SCITE,0.01,0.6183
FCNN-3,0.01,-0.0457
GNN-4,0.01,-2.096
Greedy,0.01,-0.0457
SCITE,0.01,0.2698
FCNN-3,0.01,0.1654
GNN-4,0.01,-0.2123
Greedy,0.01,-0.0864
SCITE,0.01,0.1654
FCNN-3,0.01,-0.789
GNN-4,0.01,-0.789
Greedy,0.01,-0.9203
SCITE,0.01,0.261
FCNN-3,0.01,0.8594
GNN-4,0.01,0.6361
Greedy,0.01,-2.0431
SCITE,0.01,0.8594
FCNN-3,0.01,0.2051
GNN-4,0.01,-0.2745
Greedy,0.01,0.2051
SCITE,0.01,0.2051
FCNN-3,0.01,0.2585
GNN-4,0.01,-1.503
Greedy,0.01,-1.3429
SCITE,0.01,0.5788
FCNN-3,0.01,-0.012
GNN-4,0.01,0.4251
Greedy,0.01,-0.012
SCITE,0.01,0.4251
FCNN-3,0.01,0.2207
GNN-4,0.01,0.3591
Greedy,0.01,-0.4714
SCITE,0.01,0.636
FCNN-3,0.01,-0.8959
GNN-4,0.01,-0.5699
Greedy,0.01,-0.8959
SCITE,0.01,0.4082
FCNN-3,0.01,-0.0233
GNN-4,0.01,-2.6472
Greedy,0.01,-1.2581
SCITE,0.01,0.5941
FCNN-3,0.01,0.7675
GNN-4,0.01,-4.5113
Greedy,0.01,-3.2273
SCITE,0.01,0.7675
FCNN-3,0.01,0.6974
GNN-4,0.01,-0.6022
Greedy,0.01,-1.1592
SCITE,0.01,0.6974
FCNN-3,0.01,0.5338
GNN-4,0.01,0.3566
Greedy,0.01,-1.2387
SCITE,0.01,0.5338
FCNN-3,0.01,-0.1664
GNN-4,0.01,-0.9222
Greedy,0.01,-0.1664
SCITE,0.01,0.5894
FCNN-3,0.01,0.8226
