Method,Beta,Perf
FCNN-3,0.01,16.9296
GNN-4,0.01,7.7394
Greedy,0.01,-15.2362
SCITE,0.01,16.9296
FCNN-3,0.01,-12.679
GNN-4,0.01,-3.4888
Greedy,0.01,-54.0351
SCITE,0.01,19.4868
FCNN-3,0.01,-4.1033
GNN-4,0.01,14.2772
Greedy,0.01,-4.1033
SCITE,0.01,14.2772
FCNN-3,0.01,-14.3714
GNN-4,0.01,-41.9421
Greedy,0.01,-37.347
SCITE,0.01,13.1993
FCNN-3,0.01,14.385
GNN-4,0.01,9.7899
Greedy,0.01,14.385
SCITE,0.01,14.385
FCNN-3,0.01,6.5686
GNN-4,0.01,-2.6217
Greedy,0.01,6.5686
SCITE,0.01,6.5686
FCNN-3,0.01,-14.9053
GNN-4,0.01,12.6655
Greedy,0.01,-14.9053
SCITE,0.01,17.2606
FCNN-3,0.01,-68.0336
GNN-4,0.01,-22.0824
Greedy,0.01,-68.0336
SCITE,0.01,14.6785
FCNN-3,0.01,-86.4165
GNN-4,0.01,-17.4897
Greedy,0.01,-95.6067
SCITE,0.01,23.8664
FCNN-3,0.01,9.1506
GNN-4,0.01,-9.2299
Greedy,0.01,-0.0397
SCITE,0.01,9.1506
FCNN-3,0.01,-119.778
GNN-4,0.01,-170.3243
Greedy,0.01,-161.1341
SCITE,0.01,18.0756
FCNN-3,0.01,-123.8167
GNN-4,0.01,-123.8167
Greedy,0.01,-123.8167
SCITE,0.01,23.2272
FCNN-3,0.01,5.7262
GNN-4,0.01,-17.2494
Greedy,0.01,1.1311
SCITE,0.01,14.9165
FCNN-3,0.01,-49.2518
GNN-4,0.01,-210.0809
Greedy,0.01,-182.5102
SCITE,0.01,19.675
FCNN-3,0.01,12.3594
GNN-4,0.01,-6.021
Greedy,0.01,-1.4259
SCITE,0.01,12.3594
FCNN-3,0.01,12.5601
GNN-4,0.01,-10.4155
Greedy,0.01,-5.8204
SCITE,0.01,12.5601
FCNN-3,0.01,2.8359
GNN-4,0.01,7.431
Greedy,0.01,-15.5446
SCITE,0.01,21.2163
FCNN-3,0.01,12.1463
GNN-4,0.01,2.956
Greedy,0.01,12.1463
SCITE,0.01,12.1463
FCNN-3,0.01,15.1171
GNN-4,0.01,-17.0487
Greedy,0.01,-40.0243
SCITE,0.01,15.1171
FCNN-3,0.01,-7.7732
GNN-4,0.01,-53.7244
Greedy,0.01,-7.7732
SCITE,0.01,10.6073
FCNN-3,0.01,13.8386
GNN-4,0.01,-45.8979
Greedy,0.01,-13.7321
SCITE,0.01,13.8386
FCNN-3,0.01,-2.5162
GNN-4,0.01,-48.4674
Greedy,0.01,-39.2772
SCITE,0.01,15.8642
FCNN-3,0.01,19.6046
GNN-4,0.01,10.4144
Greedy,0.01,-58.5124
SCITE,0.01,19.6046
FCNN-3,0.01,-17.5802
GNN-4,0.01,-40.5558
Greedy,0.01,-31.3655
SCITE,0.01,9.9905
FCNN-3,0.01,11.9332
GNN-4,0.01,11.9332
Greedy,0.01,2.7429
SCITE,0.01,11.9332
FCNN-3,0.01,-27.6228
GNN-4,0.01,-27.6228
Greedy,0.01,-36.813
SCITE,0.01,13.7333
FCNN-3,0.01,5.6233
GNN-4,0.01,-44.923
Greedy,0.01,5.6233
SCITE,0.01,10.2184
FCNN-3,0.01,13.9339
GNN-4,0.01,-32.0173
Greedy,0.01,-45.8026
SCITE,0.01,13.9339
FCNN-3,0.01,1.1312
GNN-4,0.01,10.3214
Greedy,0.01,1.1312
SCITE,0.01,14.9165
FCNN-3,0.01,2.5051
GNN-4,0.01,-61.8266
Greedy,0.01,-15.8754
SCITE,0.01,16.2904
FCNN-3,0.01,0.9081
GNN-4,0.01,-31.2578
Greedy,0.01,-31.2578
SCITE,0.01,5.5032
FCNN-3,0.01,13.8511
GNN-4,0.01,9.2559
Greedy,0.01,13.8511
SCITE,0.01,13.8511
FCNN-3,0.01,2.956
GNN-4,0.01,-6.2342
Greedy,0.01,2.956
SCITE,0.01,12.1463
FCNN-3,0.01,-80.1166
GNN-4,0.01,-61.7361
Greedy,0.01,-126.0678
SCITE,0.01,25.5712
FCNN-3,0.01,-18.435
GNN-4,0.01,-91.9569
Greedy,0.01,-41.4106
SCITE,0.01,18.326
FCNN-3,0.01,12.1339
GNN-4,0.01,7.5388
Greedy,0.01,-20.032
SCITE,0.01,12.1339
FCNN-3,0.01,-1.3306
GNN-4,0.01,-61.0672
Greedy,0.01,-1.3306
SCITE,0.01,7.8596
FCNN-3,0.01,6.0371
GNN-4,0.01,-7.7483
Greedy,0.01,-3.1532
SCITE,0.01,6.0371
FCNN-3,0.01,-27.6229
GNN-4,0.01,-27.6229
Greedy,0.01,-32.218
SCITE,0.01,9.1381
FCNN-3,0.01,17.6867
GNN-4,0.01,13.0916
Greedy,0.01,-42.0499
SCITE,0.01,17.6867
FCNN-3,0.01,7.8596
GNN-4,0.01,-10.5209
Greedy,0.01,7.8596
SCITE,0.01,7.8596
FCNN-3,0.01,7.4186
GNN-4,0.01,-43.1277
Greedy,0.01,-38.5326
SCITE,0.01,16.6089
FCNN-3,0.01,-0.2528
GNN-4,0.01,8.9375
Greedy,0.01,-0.2528
SCITE,0.01,8.9375
FCNN-3,0.01,7.3257
GNN-4,0.01,11.9208
Greedy,0.01,-15.6499
SCITE,0.01,21.1111
FCNN-3,0.01,-25.2539
GNN-4,0.01,-16.0637
Greedy,0.01,-25.2539
SCITE,0.01,11.507
FCNN-3,0.01,-0.6937
GNN-4,0.01,-78.8108
Greedy,0.01,-37.4547
SCITE,0.01,17.6868
FCNN-3,0.01,24.7188
GNN-4,0.01,-145.3007
Greedy,0.01,-103.9446
SCITE,0.01,24.7188
FCNN-3,0.01,17.2606
GNN-4,0.01,-14.9053
Greedy,0.01,-28.6906
SCITE,0.01,17.2606
FCNN-3,0.01,13.8387
GNN-4,0.01,9.2435
Greedy,0.01,-32.1125
SCITE,0.01,13.8387
FCNN-3,0.01,-3.0354
GNN-4,0.01,-16.8207
Greedy,0.01,-3.0354
SCITE,0.01,10.75
FCNN-3,0.01,13.4249
GNN-4,0.01,-27.9312
Greedy,0.01,13.4249
SCITE,0.01,13.4249
FCNN-3,0.01,-1.0246
GNN-4,0.01,8.1656
Greedy,0.01,-28.5953
SCITE,0.01,21.951
FCNN-3,0.01,7.6341
GNN-4,0.01,7.6341
Greedy,0.01,-1.5562
SCITE,0.01,12.2292
FCNN-3,0.01,-14.8124
GNN-4,0.01,-79.1441
Greedy,0.01,-46.9782
SCITE,0.01,21.9486
FCNN-3,0.01,7.0048
GNN-4,0.01,-57.3268
Greedy,0.01,-34.3512
SCITE,0.01,16.1951
FCNN-3,0.01,17.1327
GNN-4,0.01,-1.2477
Greedy,0.01,-33.4136
SCITE,0.01,17.1327
FCNN-3,0.01,-58.2017
GNN-4,0.01,-16.8456
Greedy,0.01,-58.2017
SCITE,0.01,10.7251
FCNN-3,0.01,-20.8014
GNN-4,0.01,-29.9917
Greedy,0.01,-52.9673
SCITE,0.01,15.9595
FCNN-3,0.01,12.1463
GNN-4,0.01,2.956
Greedy,0.01,12.1463
SCITE,0.01,12.1463
FCNN-3,0.01,8.7096
GNN-4,0.01,-184.2854
Greedy,0.01,-41.8367
SCITE,0.01,17.8998
FCNN-3,0.01,15.3327
GNN-4,0.01,10.7376
Greedy,0.01,1.5473
SCITE,0.01,15.3327
FCNN-3,0.01,10.2161
GNN-4,0.01,1.0258
Greedy,0.01,-8.1644
SCITE,0.01,10.2161
FCNN-3,0.01,-10.9618
GNN-4,0.01,-217.7422
Greedy,0.01,-47.7228
SCITE,0.01,16.6089
FCNN-3,0.01,12.347
GNN-4,0.01,7.7518
Greedy,0.01,-1.4384
SCITE,0.01,12.347
FCNN-3,0.01,-51.2401
GNN-4,0.01,-65.0255
Greedy,0.01,-51.2401
SCITE,0.01,17.6867
FCNN-3,0.01,-0.7867
GNN-4,0.01,8.4035
Greedy,0.01,-0.7867
SCITE,0.01,17.5938
FCNN-3,0.01,21.0962
GNN-4,0.01,-6.4745
Greedy,0.01,-34.0453
SCITE,0.01,21.0962
FCNN-3,0.01,-59.1642
GNN-4,0.01,-26.9983
Greedy,0.01,-59.1642
SCITE,0.01,18.9529
FCNN-3,0.01,5.3149
GNN-4,0.01,5.3149
Greedy,0.01,5.3149
SCITE,0.01,5.3149
FCNN-3,0.01,-106.9403
GNN-4,0.01,-185.0573
Greedy,0.01,-139.1061
SCITE,0.01,26.3182
FCNN-3,0.01,-24.1079
GNN-4,0.01,-134.3908
Greedy,0.01,-60.8689
SCITE,0.01,17.2481
FCNN-3,0.01,0.3866
GNN-4,0.01,-68.5402
Greedy,0.01,0.3866
SCITE,0.01,14.1719
FCNN-3,0.01,-47.3091
GNN-4,0.01,-47.3091
Greedy,0.01,-97.8554
SCITE,0.01,21.6177
FCNN-3,0.01,0.2812
GNN-4,0.01,9.4714
Greedy,0.01,0.2812
SCITE,0.01,9.4714
