Method,double_mut,Perf
FCNN-3,0,0.8825
GNN-4,0,0.827
Greedy,0,0.8655
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,0.9673
Greedy,0,0.9351
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,0.8756
Greedy,0,1.0
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,0.897
SCITE,0,1.0
FCNN-3,0,0.9961
GNN-4,0,1.0
Greedy,0,0.9961
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,0.9891
Greedy,0,0.981
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,0.9404
Greedy,0,0.9535
SCITE,0,1.0
FCNN-3,0,0.9928
GNN-4,0,0.8986
Greedy,0,0.8691
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,0.9872
Greedy,0,0.9872
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,0.9678
SCITE,0,1.0
FCNN-3,0,0.9772
GNN-4,0,1.0
Greedy,0,0.9052
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,1.0
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,1.0
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,0.9859
Greedy,0,0.8524
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,0.9552
SCITE,0,1.0
FCNN-3,0,0.951
GNN-4,0,1.0
Greedy,0,0.921
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,0.9392
Greedy,0,0.9024
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,0.9071
Greedy,0,1.0
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,1.0
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,0.9358
Greedy,0,0.9232
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,0.9139
Greedy,0,0.941
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,1.0
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,0.9849
Greedy,0,0.9611
SCITE,0,1.0
FCNN-3,0,0.9623
GNN-4,0,1.0
Greedy,0,0.9623
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,1.0
SCITE,0,1.0
FCNN-3,0,0.8121
GNN-4,0,1.0
Greedy,0,0.8088
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,0.9529
Greedy,0,0.8287
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,1.0
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,0.9353
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,1.0
SCITE,0,1.0
FCNN-3,0,0.8978
GNN-4,0,0.9818
Greedy,0,0.8432
SCITE,0,0.9889
FCNN-3,0,0.9171
GNN-4,0,1.0
Greedy,0,0.8728
SCITE,0,1.0
FCNN-3,0,0.9601
GNN-4,0,0.8909
Greedy,0,0.7419
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,0.9295
Greedy,0,0.8547
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,0.9385
SCITE,0,1.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,0.9286
SCITE,0,1.0
FCNN-3,0,0.876
GNN-4,0,1.0
Greedy,0,0.876
SCITE,0,1.0
