Method,double_mut,Perf
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.9583
GNN-4,1,0.9907
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9443
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9397
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.8969
GNN-4,1,0.8844
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9945
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9466
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9727
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.7259
GNN-4,1,0.7743
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.9735
GNN-4,1,0.843
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.8754
GNN-4,1,0.7191
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.9924
GNN-4,1,0.936
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9932
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9555
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9678
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.973
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9787
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.9229
GNN-4,1,0.8571
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.8038
GNN-4,1,0.8163
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9636
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.9167
GNN-4,1,0.823
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9334
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9331
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.6031
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.7949
GNN-4,1,0.7941
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9182
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9303
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.94
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.998
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.9094
GNN-4,1,0.8576
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.911
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.8293
GNN-4,1,0.998
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,0.9513
GNN-4,1,0.9688
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,0.9731
Greedy,1,0.0
SCITE,1,0.0
FCNN-3,1,1.0
GNN-4,1,1.0
Greedy,1,0.0
SCITE,1,0.0
