double_mut_tree,double_mut,end_llh
No,0,-50.9796
Yes,0,-69.6866
No,0,-63.2005
Yes,0,-65.6804
No,0,-41.7166
Yes,0,-42.1709
No,0,-26.8734
Yes,0,-34.7907
No,0,-35.5244
Yes,0,-40.3608
No,0,-33.8173
Yes,0,-34.0585
No,0,-32.4411
Yes,0,-35.5502
No,0,-44.2986
Yes,0,-46.7885
No,0,-42.0274
Yes,0,-68.1221
No,0,-37.4523
Yes,0,-37.9066
No,0,-26.1412
Yes,0,-27.2348
No,0,-20.5984
Yes,0,-20.8396
No,0,-47.0587
Yes,0,-68.0244
No,0,-60.2024
Yes,0,-52.2863
No,0,-21.7716
Yes,0,-22.2259
No,0,-47.1765
Yes,0,-38.8667
No,0,-31.4833
Yes,0,-31.7246
No,0,-36.6953
Yes,0,-42.2662
No,0,-29.9893
Yes,0,-30.4436
No,0,-49.8165
Yes,0,-55.079
No,0,-24.4341
Yes,0,-24.8884
No,0,-35.7476
Yes,0,-36.415
No,0,-50.9068
Yes,0,-54.026
No,0,-41.1827
Yes,0,-41.637
No,0,-36.6953
Yes,0,-37.5758
No,0,-46.0962
Yes,0,-79.9748
No,0,-35.9583
Yes,0,-36.4126
No,0,-25.6197
Yes,0,-33.0031
No,0,-58.1443
Yes,0,-94.9861
No,0,-34.7899
Yes,0,-46.6731
No,0,-61.4834
Yes,0,-66.969
No,0,-54.5342
Yes,0,-59.5836
No,0,-54.4993
Yes,0,-59.4309
No,0,-29.3276
Yes,0,-43.7803
No,0,-29.9893
Yes,0,-30.4436
No,0,-32.975
Yes,0,-39.303
No,0,-29.6608
Yes,0,-30.3282
No,0,-14.5116
Yes,0,-16.7885
No,0,-49.4904
Yes,0,-50.1578
No,0,-33.4989
Yes,0,-55.4247
No,0,-46.397
Yes,0,-65.871
No,0,-30.087
Yes,0,-37.3851
No,0,-57.8584
Yes,0,-57.9593
No,0,-62.0273
Yes,0,-80.649
No,0,-33.9251
Yes,0,-35.2317
No,0,-36.1614
Yes,0,-93.3364
No,0,-27.006
Yes,0,-30.5514
No,0,-40.1071
Yes,0,-45.7834
No,0,-44.0831
Yes,0,-47.9493
No,0,-48.8487
Yes,0,-54.0988
No,0,-42.569
Yes,0,-52.0004
No,0,-39.6081
Yes,0,-64.9358
No,0,-49.8739
Yes,0,-59.6889
No,0,-69.498
Yes,0,-54.4498
No,0,-52.0475
Yes,0,-42.6924
No,0,-62.3233
Yes,0,-115.2768
No,0,-26.4496
Yes,0,-27.3301
No,0,-31.2578
Yes,0,-31.7121
No,0,-45.2362
Yes,0,-46.7459
No,0,-81.1851
Yes,0,-132.5391
No,0,-44.7324
Yes,0,-75.5176
No,0,-46.8255
Yes,0,-47.2798
No,0,-50.3528
Yes,0,-51.2333
No,0,-34.2435
Yes,0,-34.6978
No,0,-36.4946
Yes,0,-50.2003
No,0,-38.9339
Yes,0,-39.8144
No,0,-67.6554
Yes,0,-86.2771
No,0,-56.0359
Yes,0,-56.2771
No,0,-33.8298
Yes,0,-43.2488
No,0,-38.8286
Yes,0,-39.2829
No,0,-29.4477
Yes,0,-30.5413
No,0,-37.3346
Yes,0,-63.8354
No,0,-44.359
Yes,0,-74.6226
No,0,-79.7135
Yes,0,-83.685
No,0,-35.3315
Yes,0,-35.9988
No,0,-53.1354
Yes,0,-62.3313
No,0,-57.8708
Yes,0,-83.8803
No,0,-24.5318
Yes,0,-25.4123
No,0,-47.2919
Yes,0,-48.1724
No,0,-40.3303
Yes,0,-40.7846
No,0,-27.9637
Yes,0,-28.418
No,0,-54.3287
Yes,0,-63.7602
No,0,-29.6608
Yes,0,-30.3282
No,0,-54.7425
Yes,0,-64.1739
No,0,-37.5701
Yes,0,-38.2375
No,0,-34.5519
Yes,0,-35.2193
No,0,-48.7635
Yes,0,-62.4591
No,0,-73.5539
Yes,0,-110.8544
No,0,-47.5702
Yes,0,-50.05
No,0,-26.7704
Yes,0,-29.0473
No,0,-35.5221
Yes,0,-46.3073
No,0,-18.7735
Yes,0,-23.279
No,0,-31.2703
Yes,0,-50.7343
No,0,-149.8562
Yes,0,-141.7595
No,0,-24.8627
Yes,0,-25.5301
No,0,-32.3233
Yes,0,-32.9907
No,0,-40.6511
Yes,0,-41.3185
No,0,-62.8696
Yes,0,-64.5925
No,0,-77.6779
Yes,0,-122.3562
No,0,-73.8274
Yes,0,-102.3538
No,1,-18.4551
Yes,1,-19.1224
No,1,-28.0591
Yes,1,-54.0561
No,1,-88.7007
Yes,1,-88.9419
No,1,-66.4621
Yes,1,-84.5599
No,1,-53.1455
Yes,1,-50.0701
No,1,-20.1598
Yes,1,-23.7051
No,1,-40.9719
Yes,1,-43.6649
No,1,-35.5321
Yes,1,-38.4382
No,1,-38.3272
Yes,1,-38.5684
No,1,-26.8882
Yes,1,-31.7246
No,1,-32.7394
Yes,1,-37.7889
No,1,-55.9382
Yes,1,-61.84
No,1,-39.8816
Yes,1,-40.1228
No,1,-114.865
Yes,1,-119.9145
No,1,-19.5205
Yes,1,-20.401
No,1,-60.6061
Yes,1,-66.8388
No,1,-18.7759
Yes,1,-19.4433
No,1,-32.5464
Yes,1,-33.4269
No,1,-32.4186
Yes,1,-41.4239
No,1,-14.8325
Yes,1,-15.0737
No,1,-37.3269
Yes,1,-37.5681
No,1,-34.2435
Yes,1,-34.4847
No,1,-31.0572
Yes,1,-31.2984
No,1,-45.4694
Yes,1,-59.4959
No,1,-29.7662
Yes,1,-31.0729
No,1,-24.9704
Yes,1,-25.2116
No,1,-67.3997
Yes,1,-68.4933
No,1,-53.9979
Yes,1,-54.4522
No,1,-32.8572
Yes,1,-44.7179
No,1,-26.8882
Yes,1,-27.3425
No,1,-30.6286
Yes,1,-31.7222
No,1,-45.9832
Yes,1,-46.6506
No,1,-48.5202
Yes,1,-78.26
No,1,-41.7065
Yes,1,-42.1608
No,1,-53.4639
Yes,1,-65.8911
No,1,-48.7658
Yes,1,-53.8153
No,1,-13.2431
Yes,1,-13.4843
No,1,-75.2563
Yes,1,-79.7718
No,1,-35.8553
Yes,1,-41.3309
No,1,-42.3559
Yes,1,-42.5971
No,1,-23.3686
Yes,1,-23.6098
No,1,-29.2323
Yes,1,-31.9252
No,1,-91.2277
Yes,1,-65.7408
No,1,-41.7515
Yes,1,-47.014
No,1,-43.6593
Yes,1,-43.9005
No,1,-48.2219
Yes,1,-48.8893
No,1,-33.178
Yes,1,-34.0585
No,1,-19.4252
Yes,1,-21.3712
No,1,-40.438
Yes,1,-45.4874
No,1,-28.0715
Yes,1,-28.952
No,1,-26.6627
Yes,1,-64.9334
No,1,-52.3784
Yes,1,-56.1368
No,1,-36.0536
Yes,1,-37.1472
No,1,-20.3853
Yes,1,-21.0527
No,1,-65.4895
Yes,1,-61.5618
No,1,-31.581
Yes,1,-32.4615
No,1,-27.6453
Yes,1,-28.0996
No,1,-18.4527
Yes,1,-18.907
No,1,-46.8781
Yes,1,-47.7586
No,1,-27.753
Yes,1,-27.9942
No,1,-75.8003
Yes,1,-56.2197
No,1,-27.2091
Yes,1,-27.4503
No,1,-37.7832
Yes,1,-38.0244
No,1,-37.6779
Yes,1,-61.3209
No,1,-20.5884
Yes,1,-20.8296
No,1,-47.154
Yes,1,-56.5855
No,1,-62.1002
Yes,1,-69.8144
No,1,-13.5515
Yes,1,-14.6451
No,1,-31.2578
Yes,1,-32.1383
No,1,-23.2508
Yes,1,-23.492
No,1,-26.3443
Yes,1,-26.7986
No,1,-17.8282
Yes,1,-18.0694
No,1,-34.4667
Yes,1,-35.134
No,1,-14.9378
Yes,1,-16.0314
No,1,-60.6162
Yes,1,-79.2379
No,1,-47.9963
Yes,1,-52.6196
No,1,-29.2447
Yes,1,-29.699
No,1,-27.2091
Yes,1,-27.4503
No,1,-18.4551
Yes,1,-19.1224
No,1,-34.3388
Yes,1,-34.58
No,1,-45.6825
Yes,1,-45.9237
No,1,-25.3966
Yes,1,-26.9163
No,1,-62.3281
Yes,1,-50.1903
No,1,-124.1003
Yes,1,-138.3075
No,1,-53.0377
Yes,1,-53.7051
No,1,-36.4822
Yes,1,-58.8141
No,1,-18.4551
Yes,1,-18.9094
No,1,-31.1625
Yes,1,-31.4037
No,1,-45.7577
Yes,1,-46.8513
No,1,-34.9881
Yes,1,-31.6997
No,1,-14.9355
Yes,1,-15.3898
No,1,-47.2819
Yes,1,-34.8032
No,1,-53.0502
Yes,1,-53.7176
No,1,-117.7329
Yes,1,-127.1644
No,1,-53.5717
Yes,1,-101.1078
No,1,-35.8529
Yes,1,-36.0942
No,1,-36.1637
Yes,1,-32.4491
No,1,-36.4822
Yes,1,-49.7517
No,1,-37.9863
Yes,1,-56.6079
No,1,-38.2947
Yes,1,-39.1651
