double_mut_tree,double_mut,end_llh
No,0,-60.9921
Yes,0,-70.2105
No,0,-52.4861
Yes,0,-98.8816
No,0,-52.4962
Yes,0,-91.1078
No,0,-36.0536
Yes,0,-39.2906
No,0,-29.1269
Yes,0,-29.3681
No,0,-32.6341
Yes,0,-35.7532
No,0,-41.2051
Yes,0,-41.6594
No,0,-41.932
Yes,0,-71.5766
No,0,-42.0274
Yes,0,-56.267
No,0,-49.4152
Yes,0,-87.2496
No,0,-32.1226
Yes,0,-32.5769
No,0,-20.5984
Yes,0,-32.6622
No,0,-36.6953
Yes,0,-39.1751
No,0,-54.2862
Yes,0,-54.7405
No,0,-24.5543
Yes,0,-30.456
No,0,-34.0304
Yes,0,-44.081
No,0,-35.8654
Yes,0,-37.162
No,0,-36.6953
Yes,0,-58.1849
No,0,-33.6042
Yes,0,-33.8454
No,0,-50.9997
Yes,0,-54.6629
No,0,-36.3969
Yes,0,-37.0744
No,0,-35.7476
Yes,0,-37.5882
No,0,-54.9379
Yes,0,-54.0035
No,0,-45.5647
Yes,0,-95.5851
No,0,-36.6953
Yes,0,-73.9005
No,0,-111.1247
Yes,0,-125.3643
No,0,-37.5577
Yes,0,-86.2771
No,0,-25.6197
Yes,0,-26.2871
No,0,-46.5976
Yes,0,-51.5293
No,0,-44.321
Yes,0,-44.5622
No,0,-52.3032
Yes,0,-49.4409
No,0,-26.9936
Yes,0,-32.043
No,0,-50.1172
Yes,0,-53.9834
No,0,-59.6508
Yes,0,-60.7544
No,0,-21.2253
Yes,0,-28.9271
No,0,-44.5217
Yes,0,-73.7099
No,0,-32.4435
Yes,0,-32.8978
No,0,-18.8937
Yes,0,-19.5611
No,0,-55.0557
Yes,0,-65.3395
No,0,-33.4989
Yes,0,-35.9787
No,0,-63.9902
Yes,0,-72.2384
No,0,-36.0684
Yes,0,-36.3096
No,0,-31.5662
Yes,0,-32.2336
No,0,-43.316
Yes,0,-50.8071
No,0,-33.9251
Yes,0,-112.4763
No,0,-37.7607
Yes,0,-38.0019
No,0,-29.7887
Yes,0,-30.243
No,0,-37.3245
Yes,0,-52.5971
No,0,-36.9184
Yes,0,-37.1596
No,0,-50.4481
Yes,0,-95.6177
No,0,-59.3299
Yes,0,-63.8354
No,0,-42.3908
Yes,0,-42.3011
No,0,-54.2559
Yes,0,-50.5413
No,0,-128.1289
Yes,0,-146.1966
No,0,-87.5198
Yes,0,-104.4043
No,0,-105.7926
Yes,0,-106.0338
No,0,-34.0304
Yes,0,-44.5273
No,0,-34.0405
Yes,0,-60.3383
No,0,-46.4194
Yes,0,-59.0272
No,0,-77.5702
Yes,0,-130.9823
No,0,-40.3504
Yes,0,-62.1507
