Method,double_mut,Perf
FCNN-3,0,0.9429
GNN-4,0,0.9291
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,0.9351
GNN-4,0,1.0
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,0.9343
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,0.9805
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,0.9961
GNN-4,0,1.0
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,0.981
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,0.9251
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,0.9928
GNN-4,0,0.8691
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,0.9152
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,0.9772
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,0.9803
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,0.9685
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,0.9033
GNN-4,0,0.9349
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,0.921
GNN-4,0,1.0
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,0.9124
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,1.0
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,0.9828
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,0.9302
Greedy,0,0.0
SCITE,0,0.0
FCNN-3,0,1.0
GNN-4,0,1.0
