Method,doub_rt,Perf
FCNN-3,0.0,0.9834
GNN-4,0.0,0.9524
Greedy,0.0,0.9574
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9627
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9883
SCITE,0.0,1.0
FCNN-3,0.0,0.9706
GNN-4,0.0,0.9953
Greedy,0.0,0.9706
SCITE,0.0,1.0
FCNN-3,0.0,0.9383
GNN-4,0.0,1.0
Greedy,0.0,0.9383
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9187
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9783
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9428
GNN-4,0.0,0.9625
Greedy,0.0,0.9428
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9098
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9615
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9822
GNN-4,0.0,0.796
Greedy,0.0,0.9822
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9805
SCITE,0.0,1.0
FCNN-3,0.0,0.9725
GNN-4,0.0,1.0
Greedy,0.0,0.9725
SCITE,0.0,1.0
FCNN-3,0.0,0.9559
GNN-4,0.0,0.9242
Greedy,0.0,0.9411
SCITE,0.0,1.0
FCNN-3,0.0,0.9712
GNN-4,0.0,1.0
Greedy,0.0,0.9547
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.962
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.8741
SCITE,0.0,1.0
FCNN-3,0.0,0.8955
GNN-4,0.0,0.9753
Greedy,0.0,0.8586
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.7259
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9617
GNN-4,0.0,0.9771
Greedy,0.0,0.9193
SCITE,0.0,1.0
FCNN-3,0.0,0.9666
GNN-4,0.0,0.927
Greedy,0.0,0.9
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.7706
GNN-4,0.0,1.0
Greedy,0.0,0.7706
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.8772
GNN-4,0.0,0.9665
Greedy,0.0,0.8772
SCITE,0.0,1.0
FCNN-3,0.0,0.9601
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
