Method,Num_Mut,Perf
Normal,10,0.9586
Extrapolated,10,1.0
Normal,12,0.9486
Extrapolated,12,1.0
Normal,15,1.0
Extrapolated,15,1.0
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,0.9726
Normal,12,1.0
Extrapolated,12,0.8198
Normal,15,0.821
Extrapolated,15,0.9033
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.9767
Extrapolated,10,0.9767
Normal,12,0.8609
Extrapolated,12,0.8475
Normal,15,0.9804
Extrapolated,15,0.9804
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,0.9696
Normal,15,0.9541
Extrapolated,15,0.9613
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.8193
Extrapolated,10,1.0
Normal,12,0.9311
Extrapolated,12,0.9311
Normal,15,1.0
Extrapolated,15,1.0
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.9649
Extrapolated,10,1.0
Normal,12,0.8869
Extrapolated,12,0.8869
Normal,15,0.9502
Extrapolated,15,1.0
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,0.9267
Extrapolated,15,0.9756
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,0.9866
Extrapolated,15,0.9381
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,1.0
Extrapolated,15,0.9653
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,1.0
Extrapolated,15,0.961
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.9693
Extrapolated,12,1.0
Normal,15,0.9606
Extrapolated,15,0.923
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.8623
Extrapolated,12,0.839
Normal,15,1.0
Extrapolated,15,0.9952
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,0.9089
Extrapolated,15,0.8768
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.8688
Extrapolated,12,0.9095
Normal,15,0.9441
Extrapolated,15,0.9441
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,0.994
Extrapolated,15,0.994
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,0.9676
Normal,10,0.9975
Extrapolated,10,1.0
Normal,12,0.9373
Extrapolated,12,0.9487
Normal,15,0.9478
Extrapolated,15,1.0
Normal,5,1.0
Extrapolated,5,0.9693
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.984
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,0.9796
Extrapolated,15,0.9796
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,0.977
Normal,15,0.968
Extrapolated,15,0.9882
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.9651
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,0.9627
Extrapolated,15,0.9687
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.9681
Extrapolated,12,0.9581
Normal,15,0.9587
Extrapolated,15,0.8592
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,0.9862
Extrapolated,15,0.9213
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,0.894
Normal,15,1.0
Extrapolated,15,1.0
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.7567
Extrapolated,12,0.9803
Normal,15,1.0
Extrapolated,15,0.9406
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,0.9121
Extrapolated,15,0.7773
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.9613
Extrapolated,12,0.9613
Normal,15,0.9929
Extrapolated,15,0.959
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,0.9616
Extrapolated,15,1.0
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,0.9585
Normal,15,0.8384
