Method,Num_Mut,Perf
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.9876
Extrapolated,12,0.9628
Normal,15,0.877
Extrapolated,15,0.9206
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,0.8897
Extrapolated,15,0.6447
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.9595
Extrapolated,10,1.0
Normal,12,0.8524
Extrapolated,12,0.973
Normal,15,1.0
Extrapolated,15,0.9608
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,0.9793
Extrapolated,15,0.8197
Normal,5,0.945
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,0.9939
Normal,12,0.9157
Extrapolated,12,1.0
Normal,15,0.9718
Extrapolated,15,0.9774
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.9894
Extrapolated,12,1.0
Normal,15,0.8345
Extrapolated,15,0.9058
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,0.8735
Extrapolated,7,0.9077
Normal,10,0.9795
Extrapolated,10,1.0
Normal,12,0.9579
Extrapolated,12,0.9579
Normal,15,1.0
Extrapolated,15,1.0
Normal,5,1.0
Extrapolated,5,0.8513
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,0.9968
Normal,12,1.0
Extrapolated,12,0.9341
Normal,15,0.9714
Extrapolated,15,0.9731
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.9494
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,0.9636
Normal,15,1.0
Extrapolated,15,1.0
Normal,5,0.9403
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.9492
Extrapolated,12,1.0
Normal,15,0.9839
Extrapolated,15,1.0
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,0.9867
Extrapolated,7,0.9867
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.9854
Extrapolated,12,0.9533
Normal,15,0.9537
Extrapolated,15,1.0
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.9855
Extrapolated,10,0.9855
Normal,12,0.9745
Extrapolated,12,0.9745
Normal,15,0.8653
Extrapolated,15,0.9341
Normal,5,0.7768
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,0.9514
Normal,15,0.9785
Extrapolated,15,0.9803
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,0.9654
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.9797
Extrapolated,12,0.9649
Normal,15,0.9609
Extrapolated,15,0.9851
Normal,5,0.8615
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.819
Extrapolated,10,0.9158
Normal,12,0.91
Extrapolated,12,0.9605
Normal,15,0.9193
Extrapolated,15,0.9116
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.9975
Extrapolated,10,0.9687
Normal,12,0.9801
Extrapolated,12,1.0
Normal,15,1.0
Extrapolated,15,0.9359
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,0.984
Normal,12,0.9665
Extrapolated,12,0.9541
Normal,15,1.0
Extrapolated,15,0.953
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,0.9786
Normal,15,0.941
Extrapolated,15,0.787
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.9882
Extrapolated,10,1.0
Normal,12,1.0
Extrapolated,12,1.0
Normal,15,0.9791
Extrapolated,15,0.9731
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.626
Extrapolated,10,0.9925
Normal,12,0.906
Extrapolated,12,0.9655
Normal,15,0.9931
Extrapolated,15,1.0
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,0.9847
Extrapolated,10,0.9847
Normal,12,1.0
Extrapolated,12,0.9508
Normal,15,1.0
Extrapolated,15,0.8287
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.986
Extrapolated,12,0.9949
Normal,15,0.9759
Extrapolated,15,0.948
Normal,5,1.0
Extrapolated,5,1.0
Normal,7,1.0
Extrapolated,7,1.0
Normal,10,1.0
Extrapolated,10,1.0
Normal,12,0.9607
Extrapolated,12,0.7817
Normal,15,1.0
Extrapolated,15,0.7988
Normal,5,1.0
