feature_index,importance
0,0.8421595
1,2.429415
2,0.02452762
3,0.010719234
4,0.100704424
5,0.0
6,0.007921806
7,0.002675536
8,0.009206597
9,0.00065036176
10,0.016640428
11,0.016623659
12,0.013524992
13,0.00078268646
14,0.0012687021
15,0.0028175563
16,0.009292769
17,6.3638034
18,0.0010125138
19,0.001333749
20,0.0027253607
21,0.0016769756
22,0.0064438027
23,0.004258377
24,0.002848188
25,0.0011394991
26,0.027667321
27,0.012267754
28,0.0072989184
29,0.0051287175
30,0.0027280631
31,0.0033973535
32,1.3606043
