Method,Horizon,Perf
FCNN-3,6,0.8195
GNN-4,6,0.8195
FCNN-3,6,0.7217
GNN-4,6,0.7217
FCNN-3,6,0.7929
GNN-4,6,0.7395
FCNN-3,6,1.0
GNN-4,6,1.0
FCNN-3,6,0.9005
GNN-4,6,0.9005
FCNN-3,6,0.8338
GNN-4,6,0.8338
FCNN-3,6,1.0
GNN-4,6,1.0
FCNN-3,6,0.8781
GNN-4,6,0.8365
FCNN-3,6,0.7492
GNN-4,6,0.6782
FCNN-3,6,0.874
GNN-4,6,0.7817
FCNN-3,6,0.6915
GNN-4,6,0.7008
FCNN-3,6,0.9901
GNN-4,6,0.9667
FCNN-3,6,0.7355
GNN-4,6,0.7914
FCNN-3,6,0.8935
GNN-4,6,0.8706
FCNN-3,6,0.9172
GNN-4,6,0.9172
FCNN-3,6,0.7311
GNN-4,6,0.6716
FCNN-3,6,0.8753
GNN-4,6,0.6974
FCNN-3,6,0.8599
GNN-4,6,0.7464
FCNN-3,6,0.8899
GNN-4,6,0.8741
FCNN-3,6,1.0
GNN-4,6,0.973
FCNN-3,6,0.9129
GNN-4,6,0.8329
FCNN-3,6,0.8276
GNN-4,6,0.8276
FCNN-3,6,0.7365
GNN-4,6,0.7046
FCNN-3,6,0.881
GNN-4,6,0.7832
FCNN-3,6,0.9415
GNN-4,6,0.8525
FCNN-3,6,0.983
GNN-4,6,0.983
FCNN-3,6,0.8175
GNN-4,6,0.8265
FCNN-3,6,0.9108
GNN-4,6,0.8778
FCNN-3,6,1.0
GNN-4,6,0.9114
FCNN-3,6,0.7465
GNN-4,6,0.7424
FCNN-3,6,0.8151
GNN-4,6,0.8213
FCNN-3,6,0.7921
GNN-4,6,0.7612
FCNN-3,6,0.9068
GNN-4,6,0.8319
FCNN-3,6,0.95
GNN-4,6,0.9332
FCNN-3,6,1.0
GNN-4,6,0.988
FCNN-3,6,0.9124
GNN-4,6,0.9124
FCNN-3,6,0.8162
GNN-4,6,0.856
FCNN-3,6,0.7023
GNN-4,6,0.6354
FCNN-3,6,0.8308
GNN-4,6,0.7442
FCNN-3,6,0.893
GNN-4,6,0.7692
FCNN-3,6,0.9177
GNN-4,6,0.7357
FCNN-3,6,0.8046
GNN-4,6,0.7469
FCNN-3,6,0.7378
GNN-4,6,0.7378
FCNN-3,6,0.761
GNN-4,6,0.6205
FCNN-3,6,0.7808
GNN-4,6,0.7659
FCNN-3,6,0.7622
GNN-4,6,0.7677
FCNN-3,6,0.8151
GNN-4,6,0.7422
FCNN-3,6,0.7658
GNN-4,6,0.7424
FCNN-3,6,0.792
GNN-4,6,0.7779
FCNN-3,6,0.9643
GNN-4,6,0.9643
FCNN-3,6,0.8647
GNN-4,6,0.8301
FCNN-3,6,0.8781
GNN-4,6,0.8568
FCNN-3,6,0.8448
GNN-4,6,0.8685
FCNN-3,6,0.7476
GNN-4,6,0.686
FCNN-3,6,0.8408
GNN-4,6,0.8354
FCNN-3,6,0.7616
GNN-4,6,0.814
FCNN-3,6,0.7411
GNN-4,6,0.6344
FCNN-3,6,0.8101
GNN-4,6,0.786
FCNN-3,6,0.8119
GNN-4,6,0.8458
FCNN-3,6,0.7076
GNN-4,6,0.7342
FCNN-3,6,0.9181
