Method,miss_val,Perf
FCNN-3,0.0,1.0
GNN-4,0.0,0.9358
Greedy,0.0,0.9443
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.986
Greedy,0.0,0.9426
SCITE,0.0,1.0
FCNN-3,0.0,0.9572
GNN-4,0.0,0.9797
Greedy,0.0,0.9572
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9754
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9023
GNN-4,0.0,0.8913
Greedy,0.0,0.8824
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9317
Greedy,0.0,0.9802
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9912
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9245
SCITE,0.0,1.0
FCNN-3,0.0,0.9231
GNN-4,0.0,0.8084
Greedy,0.0,0.7803
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9783
SCITE,0.0,1.0
FCNN-3,0.0,0.9473
GNN-4,0.0,1.0
Greedy,0.0,0.9473
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.951
GNN-4,0.0,0.9319
Greedy,0.0,0.951
SCITE,0.0,1.0
FCNN-3,0.0,0.8513
GNN-4,0.0,0.9691
Greedy,0.0,0.7987
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9974
GNN-4,0.0,0.9875
Greedy,0.0,0.9974
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.8666
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9394
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9716
Greedy,0.0,0.9492
SCITE,0.0,1.0
FCNN-3,0.0,0.8797
GNN-4,0.0,0.9836
Greedy,0.0,0.8797
SCITE,0.0,1.0
FCNN-3,0.0,0.9605
GNN-4,0.0,0.9683
Greedy,0.0,0.892
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9536
SCITE,0.0,1.0
