Method,Time
FCNN-3,13.076987743377686
GNN-4,1.5217177867889404
Greedy,8.23459768295288
SCITE,0.21874100000000002
FCNN-3,13.342459440231323
GNN-4,1.2961039543151855
Greedy,4.022022485733032
SCITE,0.427728
FCNN-3,16.215959787368774
GNN-4,1.2933313846588135
Greedy,6.985044002532959
SCITE,0.26927300000000004
FCNN-3,16.046600580215454
GNN-4,1.2901127338409424
Greedy,4.426787853240967
SCITE,0.222725
FCNN-3,19.265607357025146
GNN-4,1.2877140045166016
Greedy,7.537454843521118
SCITE,0.301947
FCNN-3,16.25418210029602
GNN-4,1.28904128074646
Greedy,7.648710250854492
SCITE,0.245408
FCNN-3,17.6457622051239
GNN-4,1.2873289585113525
Greedy,5.949399948120117
SCITE,0.212468
FCNN-3,13.278863430023193
GNN-4,1.284599781036377
Greedy,7.349478721618652
SCITE,0.263312
FCNN-3,15.874892950057983
GNN-4,1.284956932067871
Greedy,8.830269575119019
SCITE,0.310536
FCNN-3,13.745595216751099
GNN-4,1.2848789691925049
Greedy,7.372583866119385
SCITE,0.24406999999999998
FCNN-3,15.396992683410645
GNN-4,1.2865643501281738
Greedy,10.746351718902588
SCITE,0.223336
FCNN-3,13.799879550933838
GNN-4,1.2907178401947021
Greedy,4.750184059143066
SCITE,0.469802
FCNN-3,13.917362451553345
GNN-4,1.2939953804016113
Greedy,6.207082986831665
SCITE,0.248331
FCNN-3,14.180562257766724
GNN-4,1.2907395362854004
Greedy,6.245043754577637
SCITE,0.270173
FCNN-3,16.312652349472046
GNN-4,1.287416934967041
Greedy,8.338603734970093
SCITE,0.213584
FCNN-3,15.007197856903076
GNN-4,1.288104772567749
Greedy,9.76051950454712
SCITE,0.316409
FCNN-3,14.648399829864502
GNN-4,1.2863869667053223
Greedy,5.818909168243408
SCITE,0.30400499999999997
FCNN-3,15.529013872146606
GNN-4,1.2849926948547363
Greedy,5.991140604019165
SCITE,0.265834
FCNN-3,14.6165771484375
GNN-4,1.2887706756591797
Greedy,6.6827898025512695
SCITE,0.20652299999999998
FCNN-3,17.042622804641724
GNN-4,1.5249383449554443
Greedy,6.343038320541382
SCITE,0.326984
FCNN-3,16.6357262134552
GNN-4,1.2891831398010254
Greedy,7.208610773086548
SCITE,0.226187
FCNN-3,15.539742946624756
GNN-4,1.2879254817962646
Greedy,8.33307671546936
SCITE,0.231084
FCNN-3,14.620248556137085
GNN-4,1.2877326011657715
Greedy,5.57034969329834
SCITE,0.20386500000000002
FCNN-3,19.738011837005615
GNN-4,1.2975647449493408
Greedy,7.63908839225769
SCITE,0.225738
FCNN-3,19.707153797149658
GNN-4,1.296724557876587
Greedy,7.794520378112793
SCITE,0.220462
FCNN-3,15.966386795043945
GNN-4,1.2947866916656494
Greedy,5.634607791900635
SCITE,0.230919
FCNN-3,14.232227087020874
GNN-4,1.2978928089141846
Greedy,6.324076890945435
SCITE,0.213899
FCNN-3,14.916530847549438
GNN-4,1.2943005561828613
Greedy,4.831843376159668
SCITE,0.266233
FCNN-3,16.580476760864258
GNN-4,1.2871060371398926
Greedy,5.693825960159302
SCITE,0.41163099999999997
FCNN-3,11.882307052612305
GNN-4,1.3065693378448486
Greedy,4.914879322052002
SCITE,0.219438
FCNN-3,16.835668563842773
GNN-4,1.2991626262664795
Greedy,6.821532487869263
SCITE,0.300093
FCNN-3,19.39527678489685
GNN-4,1.2883920669555664
Greedy,8.596024513244629
SCITE,0.208613
FCNN-3,15.533183574676514
GNN-4,1.2863337993621826
Greedy,6.637686729431152
SCITE,0.210499
FCNN-3,15.356480121612549
GNN-4,1.2979488372802734
Greedy,6.718116760253906
SCITE,0.214976
FCNN-3,15.973135232925415
GNN-4,1.2977502346038818
Greedy,4.82821249961853
SCITE,0.725472
FCNN-3,14.972266912460327
GNN-4,1.2973260879516602
Greedy,6.848850250244141
SCITE,0.41737799999999997
FCNN-3,13.860841274261475
GNN-4,1.297445297241211
Greedy,7.6888391971588135
SCITE,0.281348
FCNN-3,13.43081521987915
GNN-4,1.3008146286010742
Greedy,8.73935341835022
SCITE,0.23136
FCNN-3,17.658713340759277
GNN-4,1.2998316287994385
Greedy,7.191731214523315
SCITE,0.20763800000000002
FCNN-3,13.792781352996826
GNN-4,1.3019704818725586
Greedy,6.512094259262085
SCITE,0.265139
FCNN-3,15.89168667793274
GNN-4,1.2963707447052002
Greedy,7.010546445846558
SCITE,0.21735
FCNN-3,13.752614498138428
GNN-4,1.299501895904541
Greedy,6.936773300170898
SCITE,0.28817899999999996
FCNN-3,16.36448860168457
GNN-4,1.2864644527435303
Greedy,9.176149129867554
SCITE,0.255156
FCNN-3,15.896536827087402
GNN-4,1.2904860973358154
Greedy,7.290490627288818
SCITE,0.209279
FCNN-3,14.27304482460022
GNN-4,1.2902450561523438
Greedy,9.89956545829773
SCITE,0.236527
FCNN-3,15.484804630279541
GNN-4,1.5273196697235107
Greedy,9.785828351974487
SCITE,0.295056
FCNN-3,16.041128158569336
GNN-4,1.288243055343628
Greedy,8.435976266860962
SCITE,0.26504099999999997
FCNN-3,13.070369958877563
GNN-4,1.287536859512329
Greedy,5.031731843948364
SCITE,0.249531
FCNN-3,14.135733842849731
GNN-4,1.2866089344024658
Greedy,4.529352903366089
SCITE,0.259625
FCNN-3,18.281492948532104
GNN-4,1.289588451385498
Greedy,5.882183313369751
SCITE,0.279492
