0.0%, MSE: 0.0, Test Acc: 0.22, , STD: 0.00075
1.0%, MSE: 0.01, Test Acc: 0.24, , STD: 0.132646
2.0%, MSE: 0.01, Test Acc: 0.27, , STD: 0.21788
3.0%, MSE: 0.01, Test Acc: 0.25, , STD: 0.249625
4.0%, MSE: 0.02, Test Acc: 0.23, , STD: 0.122505
5.0%, MSE: 0.04, Test Acc: 0.23, , STD: 0.28396
6.0%, MSE: 0.04, Test Acc: 0.25, , STD: 0.0
7.0%, MSE: 0.06, Test Acc: 0.27, , STD: 0.888065
8.0%, MSE: 0.04, Test Acc: 0.27, , STD: 0.578153
9.0%, MSE: 0.06, Test Acc: 0.27, , STD: 0.63885
10.0%, MSE: 0.05, Test Acc: 0.24, , STD: 0.332115
11.0%, MSE: 0.06, Test Acc: 0.25, , STD: 0.952443
12.0%, MSE: 0.07, Test Acc: 0.24, , STD: 0.561989
13.0%, MSE: 0.09, Test Acc: 0.27, , STD: 0.414124
14.0%, MSE: 0.09, Test Acc: 0.26, , STD: 0.827547
15.0%, MSE: 0.1, Test Acc: 0.23, , STD: 0.419617
16.0%, MSE: 0.09, Test Acc: 0.29, , STD: 1.333017
17.0%, MSE: 0.09, Test Acc: 0.26, , STD: 0.515106
18.0%, MSE: 0.08, Test Acc: 0.25, , STD: 0.524217
19.0%, MSE: 0.06, Test Acc: 0.28, , STD: 1.593353
20.0%, MSE: 0.09, Test Acc: 0.24, , STD: 0.514062
21.0%, MSE: 0.08, Test Acc: 0.27, , STD: 1.664593
22.0%, MSE: 0.08, Test Acc: 0.22, , STD: 0.418895
23.0%, MSE: 0.09, Test Acc: 0.25, , STD: 0.877605
24.0%, MSE: 0.08, Test Acc: 0.26, , STD: 2.085504
25.0%, MSE: 0.1, Test Acc: 0.26, , STD: 0.789323
26.0%, MSE: 0.1, Test Acc: 0.27, , STD: 0.85757
27.0%, MSE: 0.08, Test Acc: 0.28, , STD: 0.660089
28.0%, MSE: 0.1, Test Acc: 0.31, , STD: 0.883216
29.0%, MSE: 0.09, Test Acc: 0.27, , STD: 2.394862
30.0%, MSE: 0.1, Test Acc: 0.26, , STD: 0.551998
31.0%, MSE: 0.06, Test Acc: 0.28, , STD: 1.789684
32.0%, MSE: 0.08, Test Acc: 0.29, , STD: 0.600643
33.0%, MSE: 0.08, Test Acc: 0.3, , STD: 1.408747
34.0%, MSE: 0.13, Test Acc: 0.3, , STD: 0.979782
35.0%, MSE: 0.06, Test Acc: 0.28, , STD: 1.624474
36.0%, MSE: 0.07, Test Acc: 0.31, , STD: 1.188284
37.0%, MSE: 0.05, Test Acc: 0.28, , STD: 1.029163
38.0%, MSE: 0.06, Test Acc: 0.28, , STD: 0.313357
39.0%, MSE: 0.06, Test Acc: 0.26, , STD: 3.179126
40.0%, MSE: 0.04, Test Acc: 0.29, , STD: 0.589272
41.0%, MSE: 0.09, Test Acc: 0.29, , STD: 1.880771
42.0%, MSE: 0.04, Test Acc: 0.26, , STD: 0.336976
43.0%, MSE: 0.03, Test Acc: 0.26, , STD: 0.392449
44.0%, MSE: 0.05, Test Acc: 0.25, , STD: 0.937574
45.0%, MSE: 0.06, Test Acc: 0.27, , STD: 0.600812
46.0%, MSE: 0.05, Test Acc: 0.28, , STD: 0.727647
47.0%, MSE: 0.05, Test Acc: 0.28, , STD: 1.54809
48.0%, MSE: 0.04, Test Acc: 0.29, , STD: 0.354034
49.0%, MSE: 0.05, Test Acc: 0.27, , STD: 0.767934
50.0%, MSE: 0.03, Test Acc: 0.29, , STD: 0.488511
51.0%, MSE: 0.03, Test Acc: 0.3, , STD: 0.824283
52.0%, MSE: 0.04, Test Acc: 0.25, , STD: 0.482326
53.0%, MSE: 0.02, Test Acc: 0.24, , STD: 0.750885
54.0%, MSE: 0.04, Test Acc: 0.27, , STD: 1.799818
55.0%, MSE: 0.02, Test Acc: 0.29, , STD: 0.206035
56.0%, MSE: 0.01, Test Acc: 0.26, , STD: 0.210332
57.0%, MSE: 0.03, Test Acc: 0.27, , STD: 0.396155
58.0%, MSE: 0.03, Test Acc: 0.24, , STD: 1.354185
59.0%, MSE: 0.03, Test Acc: 0.26, , STD: 0.367157
60.0%, MSE: 0.04, Test Acc: 0.27, , STD: 1.684176
61.0%, MSE: 0.07, Test Acc: 0.23, , STD: 0.171705
62.0%, MSE: 0.03, Test Acc: 0.25, , STD: 0.184809
63.0%, MSE: 0.04, Test Acc: 0.25, , STD: 0.309191
64.0%, MSE: 0.01, Test Acc: 0.26, , STD: 0.0
65.0%, MSE: 0.05, Test Acc: 0.28, , STD: 0.603374
66.0%, MSE: 0.03, Test Acc: 0.29, , STD: 0.81688
67.0%, MSE: 0.03, Test Acc: 0.26, , STD: 0.501803
68.0%, MSE: 0.04, Test Acc: 0.28, , STD: 1.884419
69.0%, MSE: 0.02, Test Acc: 0.3, , STD: 1.016913
70.0%, MSE: 0.04, Test Acc: 0.27, , STD: 0.904473
71.0%, MSE: 0.03, Test Acc: 0.3, , STD: 0.272893
72.0%, MSE: 0.06, Test Acc: 0.3, , STD: 0.367844
73.0%, MSE: 0.03, Test Acc: 0.28, , STD: 0.23863
74.0%, MSE: 0.03, Test Acc: 0.26, , STD: 3.855913
75.0%, MSE: 0.04, Test Acc: 0.25, , STD: 0.531773
76.0%, MSE: 0.03, Test Acc: 0.26, , STD: 0.667192
77.0%, MSE: 0.06, Test Acc: 0.26, , STD: 0.376329
78.0%, MSE: 0.06, Test Acc: 0.28, , STD: 0.780122
79.0%, MSE: 0.06, Test Acc: 0.29, , STD: 2.993416
80.0%, MSE: 0.07, Test Acc: 0.26, , STD: 0.414848
81.0%, MSE: 0.04, Test Acc: 0.28, , STD: 0.705877
82.0%, MSE: 0.06, Test Acc: 0.26, , STD: 0.244337
83.0%, MSE: 0.07, Test Acc: 0.3, , STD: 1.030935
84.0%, MSE: 0.04, Test Acc: 0.28, , STD: 2.590432
85.0%, MSE: 0.04, Test Acc: 0.26, , STD: 1.4343
86.0%, MSE: 0.01, Test Acc: 0.27, , STD: 0.0
87.0%, MSE: 0.02, Test Acc: 0.28, , STD: 0.483555
88.0%, MSE: 0.07, Test Acc: 0.3, , STD: 0.806181
89.0%, MSE: 0.04, Test Acc: 0.29, , STD: 2.859513
90.0%, MSE: 0.06, Test Acc: 0.28, , STD: 0.540067
91.0%, MSE: 0.04, Test Acc: 0.29, , STD: 2.655703
92.0%, MSE: 0.03, Test Acc: 0.29, , STD: 0.422917
93.0%, MSE: 0.04, Test Acc: 0.26, , STD: 2.094912
94.0%, MSE: 0.03, Test Acc: 0.27, , STD: 3.652664
95.0%, MSE: 0.06, Test Acc: 0.26, , STD: 0.75255
96.0%, MSE: 0.04, Test Acc: 0.27, , STD: 1.272291
97.0%, MSE: 0.08, Test Acc: 0.28, , STD: 0.363662
98.0%, MSE: 0.05, Test Acc: 0.29, , STD: 2.587513
99.0%, MSE: 0.07, Test Acc: 0.29, , STD: 2.560703
0.0%, MSE: 0.0, Test Acc: 0.32, , STD: 0.0
1.0%, MSE: 0.71, Test Acc: 0.29, , STD: 0.398121
2.0%, MSE: 0.18, Test Acc: 0.32, , STD: 0.570687
3.0%, MSE: 0.11, Test Acc: 0.31, , STD: 0.41852
4.0%, MSE: 0.1, Test Acc: 0.32, , STD: 0.937325
5.0%, MSE: 0.1, Test Acc: 0.34, , STD: 0.49743
6.0%, MSE: 0.08, Test Acc: 0.31, , STD: 0.768852
7.0%, MSE: 0.09, Test Acc: 0.36, , STD: 2.011665
8.0%, MSE: 0.08, Test Acc: 0.32, , STD: 0.732434
9.0%, MSE: 0.06, Test Acc: 0.31, , STD: 1.006551
10.0%, MSE: 0.11, Test Acc: 0.31, , STD: 0.296313
11.0%, MSE: 0.1, Test Acc: 0.34, , STD: 0.64273
12.0%, MSE: 0.02, Test Acc: 0.3, , STD: 3.56838
13.0%, MSE: 0.1, Test Acc: 0.32, , STD: 0.411366
14.0%, MSE: 0.1, Test Acc: 0.3, , STD: 0.21644
15.0%, MSE: 0.04, Test Acc: 0.32, , STD: 0.299644
16.0%, MSE: 0.11, Test Acc: 0.33, , STD: 0.364362
17.0%, MSE: 0.14, Test Acc: 0.34, , STD: 2.614488
18.0%, MSE: 0.09, Test Acc: 0.27, , STD: 0.132047
19.0%, MSE: 0.13, Test Acc: 0.36, , STD: 0.299772
20.0%, MSE: 0.13, Test Acc: 0.33, , STD: 0.217126
21.0%, MSE: 0.09, Test Acc: 0.29, , STD: 0.306655
22.0%, MSE: 0.13, Test Acc: 0.35, , STD: 3.905283
23.0%, MSE: 0.07, Test Acc: 0.35, , STD: 0.23716
24.0%, MSE: 0.12, Test Acc: 0.35, , STD: 0.326164
25.0%, MSE: 0.05, Test Acc: 0.32, , STD: 3.474738
26.0%, MSE: 0.08, Test Acc: 0.36, , STD: 0.449034
27.0%, MSE: 0.23, Test Acc: 0.36, , STD: 3.21666
28.0%, MSE: 0.11, Test Acc: 0.38, , STD: 4.397393
29.0%, MSE: 0.11, Test Acc: 0.33, , STD: 0.295666
30.0%, MSE: 0.14, Test Acc: 0.34, , STD: 0.237916
31.0%, MSE: 0.14, Test Acc: 0.39, , STD: 0.279345
32.0%, MSE: 0.09, Test Acc: 0.35, , STD: 3.175443
33.0%, MSE: 0.15, Test Acc: 0.31, , STD: 1.406346
34.0%, MSE: 0.15, Test Acc: 0.34, , STD: 0.247198
35.0%, MSE: 0.11, Test Acc: 0.37, , STD: 3.806766
36.0%, MSE: 0.16, Test Acc: 0.31, , STD: 0.431763
37.0%, MSE: 0.04, Test Acc: 0.37, , STD: 3.540674
38.0%, MSE: 0.15, Test Acc: 0.41, , STD: 2.38269
39.0%, MSE: 0.12, Test Acc: 0.32, , STD: 0.341355
40.0%, MSE: 0.11, Test Acc: 0.34, , STD: 0.436833
41.0%, MSE: 0.06, Test Acc: 0.35, , STD: 1.469904
42.0%, MSE: 0.17, Test Acc: 0.35, , STD: 3.162213
43.0%, MSE: 0.1, Test Acc: 0.34, , STD: 0.115745
44.0%, MSE: 0.07, Test Acc: 0.35, , STD: 0.184902
45.0%, MSE: 0.03, Test Acc: 0.33, , STD: 4.04462
46.0%, MSE: 0.14, Test Acc: 0.32, , STD: 1.270965
47.0%, MSE: 0.07, Test Acc: 0.33, , STD: 0.528228
48.0%, MSE: 0.11, Test Acc: 0.33, , STD: 3.986315
49.0%, MSE: 0.02, Test Acc: 0.33, , STD: 0.377721
50.0%, MSE: 0.1, Test Acc: 0.36, , STD: 0.318143
51.0%, MSE: 0.22, Test Acc: 0.32, , STD: 2.390509
52.0%, MSE: 0.17, Test Acc: 0.29, , STD: 4.387226
53.0%, MSE: 0.12, Test Acc: 0.32, , STD: 0.243175
54.0%, MSE: 0.1, Test Acc: 0.37, , STD: 0.417838
55.0%, MSE: 0.15, Test Acc: 0.35, , STD: 3.534772
56.0%, MSE: 0.09, Test Acc: 0.34, , STD: 1.277466
57.0%, MSE: 0.15, Test Acc: 0.36, , STD: 1.265383
58.0%, MSE: 0.08, Test Acc: 0.33, , STD: 3.320832
59.0%, MSE: 0.09, Test Acc: 0.35, , STD: 1.940901
60.0%, MSE: 0.12, Test Acc: 0.32, , STD: 0.386089
61.0%, MSE: 0.05, Test Acc: 0.32, , STD: 2.399199
